,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
0,1876,3844,8,715,93,1335,1197,496,,...,...,5478,...,...,...,,...,...,184,...,...,,...,,...,...,...,...,,1876,...,...,...,...,...,,...,...,...,...,...,...,,...,...,...,,...,3887,...,...,...,...,,...,...,,1876,2550,540,1775,174,...,...,...,464,539,235,109,,...,218,...,...,...,...,,1604,16096,17700,,66819
1,1877,5535,105,1805,471,1093,1433,628,,6647,5599,5459,1048,...,...,,782,...,164,38,...,,12964,,8549,43,4709,...,,1877,...,...,...,...,...,,9183,...,2059,...,...,...,,999.495,365,34,,6409,3931,313,227,112,512,,718,525,,1877,2514,600,1663,160,...,...,...,497,386,251,108,,...,206,715,...,...,...,,1302,12203,13505,,65353
2,1878,4749,48,1539,306,875,1301,680,,6955,5822,5686,1133,...,...,,773,...,157,42,...,,12477,,8656,51,4325,...,,1878,...,...,...,...,...,,9321,...,2236,...,...,...,,975,343,32,,6541,4042,429,211,46,433,,707,519,,1878,2512,642,1650,146,...,...,...,521,401,220,114,,...,233,700,...,...,...,,1577,11155,12732,,65311
3,1879,3757,135,641,154,908,1352,567,,7073,5901,5754,1172,...,...,,715,...,137,51,...,,11545,,9150,112,4672,...,,1879,...,...,...,...,...,,9193,...,2230,...,...,...,,943.8,330,33,,6710,4095,624,258,30,420,,771,559,,1879,2595,701,1719,140,...,...,...,494,382,175,88,,...,221,696,...,...,...,,1276,10772,12048,,63651
4,1880,4513,173,752,236,1042,1731,579,,6978,5677,5489,1301,...,...,,778,...,126,53,...,,12269,,9610,107,5246,...,,1880,...,...,...,...,...,,8447,...,2178,...,...,...,,891.8,306,37,,6740,4123,689,264,51,404,,844,631,,1880,2496,695,1621,148,...,...,...,472,350,180,109,,...,254,743,...,...,...,,517,9737,10254,,62223
5,1881,5156,167,278,537,1067,2246,861,,7356,5883,5665,1473,740,505,,848,...,136,63,...,,13360,,9807,67,5424,...,,1881,2973,2866,1484,137,...,,8832,...,2215,...,...,...,,759.2,250,42,,6752,4246,654,252,47,378,,826,594,,1881,2590,675,1753,169,...,...,...,472,390,162,81,,7833.799999999999,292,701,...,...,...,,470,9776,10246,,63979
6,1882,4685,22,316,250,866,2313,918,,7675,6189,5982,1486,758,514,,907,...,184,72,...,,13267,,10615,91,5798,...,,1882,2985,2874,1562,133,...,,9040,...,2315,...,...,...,,845,274,51,,5860,3315,572,277,54,445,,930,681,,1882,2486,688,1654,172,...,...,...,514,362,144,90,,8062,263,743,...,...,...,,396,8363,8759,,62849
7,1883,3097,24,243,220,665,1504,441,,7840,6306,6089,1534,776,539,,784,...,119,76,...,,11721,,9217,79,4716,...,,1883,3039,2941,1581,155,...,,9332,...,2460,...,...,...,,811.2,264,48,,5763,3306,575,242,73,411,,951,727,,1883,2364,682,1528,125,...,...,...,442,358,154,93,,8867.8,277,625,...,...,...,,391,6276,6667,,58733
8,1884,3788,64,247,157,1008,1705,607,,7706,6124,5904,1582,751,541,,797,...,145,74,...,,12291,,7911,54,4039,...,,1884,3164,3042,1580,140,...,,9518,...,2476,...,...,...,,774.8,238,60,,6276,3790,601,239,68,430,,1006,761,,1884,2348,647,1571,151,...,...,...,494,323,130,83,,8969.2,315,730,...,...,...,,300,5743,6043,,58301
9,1885,3676,426,150,390,599,1468,643,,8312,6591,6413,1721,789,561,,874,...,179,81,...,,12862,,9448,61,4881,...,,1885,3242,3134,1704,133,...,,9851,...,2366,...,...,...,,871,277,58,,6168,3547,612,248,79,464,,1129,859,,1885,2405,661,1608,174,...,...,...,480,338,136,80,,9545,290,745,3388,...,...,,293,5734,6027,,61548
10,1886,3240,182,99,341,531,1100,987,,8259,6603,6420,1656,754,557,,833,...,161,68,...,,12332,,8914,61,4840,...,,1886,3404,3294,1810,146,...,,9712,...,2474,...,...,...,,886.6,269,72,,5828,3304,500,275,82,452,,1080,831,,1886,2424,692,1610,147,...,...,...,511,332,122,76,,9498.400000000001,255,632,3434,...,...,,344,5638,5982,,60061
11,1887,2414,14,163,451,445,975,366,,7670,5989,5836,1681,757,570,,694,...,148,50,...,,10778,,8988,56,5057,...,,1887,3408,3276,1750,155,...,,9761,...,2434,...,...,...,,821.6,250,66,,6160,3714,468,249,73,440,,1170,904,,1887,2297,626,1539,162,...,...,...,492,288,132,75,,9596.400000000001,186,635,3376,...,...,,340,5619,5959,,58939
12,1888,2303,17,270,249,450,818,499,,8121,6336,6204,1785,796,573,,746,...,166,68,...,,11170,,9186,76,5180,...,,1888,3522,3389,1785,152,...,,9764,...,2465,...,...,...,,759.2,205,87,,5326,2955,450,272,96,400,,1142,913,,1888,2342,609,1603,138,...,...,...,472,341,130,78,,9835.8,247,683,3549,...,...,,274,4908,5182,,58229
