Year,Total,Smallpox,Scarlet_Fever,Measles,Typhoid_Paratyphoid,Diphtheria,Whooping_Cough
1876,3844,8,715,93,1335,1197,496
1877,5535,105,1805,471,1093,1433,628
1878,4749,48,1539,306,875,1301,680
1879,3757,135,641,154,908,1352,567
1880,4513,173,752,236,1042,1731,579
1881,5156,167,278,537,1067,2246,861
1882,4685,22,316,250,866,2313,918
1883,3097,24,243,220,665,1504,441
1884,3788,64,247,157,1008,1705,607
1885,3676,426,150,390,599,1468,643
1886,3240,182,99,341,531,1100,987
1887,2414,14,163,451,445,975,366
1888,2303,17,270,249,450,818,499
1889,3187,3,429,470,481,1070,734
1890,2930,32,400,481,441,990,586
1891,3563,26,533,594,349,1337,724
1892,2604,35,211,316,345,1135,562
1893,3379,15,138,870,380,1599,377
1894,3508,51,58,473,302,1930,694
1895,2133,1,62,185,305,999,581
1896,2167,8,89,423,288,848,511
1897,1817,1,47,272,261,760,476
1898,2137,2,34,354,308,994,445
1899,2281,3,38,264,269,1106,601
1900,2769,30,34,809,220,981,695
1902,1976,2,73,456,207,726,512
1903,1981,4,162,545,169,540,561
1904,2812,4,279,821,265,607,836
1905,2501,36,312,657,174,668,654
1906,2068,14,153,569,167,516,649
1907,1898,8,140,613,176,528,433
1908,1564,2,147,226,135,565,489
1909,2085,3,170,373,113,580,846
1910,1802,2,102,350,152,455,741
1911,1561,11,129,344,181,502,394
1912,1324,3,102,220,132,421,446
1913,1454,-,93,368,100,343,550
1914,1287,-,74,300,97,374,442
1915,1258,2,60,206,110,426,454
1916,1029,-,51,125,89,398,366
1917,1156,-,63,196,114,392,391
1918,1389,-,56,151,82,578,522
1919,1201,-,48,143,67,564,379
1920,1594,-,69,455,63,674,333
1922,839,3,27,20,58,314,417
1923,646,2,28,145,61,200,210
1924,408,2,21,53,39,180,113
1925,620,1,28,93,49,187,262
1926,552,1,27,132,59,115,218
1927,531,-,29,69,81,151,201
1928,743,-,34,235,62,200,212
1929,447,-,37,50,51,208,101
1930,456,-,32,35,34,224,131
1932,431,-,31,87,36,92,185
1933,310,-,34,28,34,130,84
1934,307,-,31,81,38,93,64
1935,279,-,24,25,35,94,101
1936,245,-,27,29,26,45,118
1937,325,-,26,91,25,37,146
1938,192,-,31,20,34,50,57
1939,189,-,40,5,28,33,83
1940,301,-,28,81,15,41,136
1941,176,-,13,17,18,59,69
1943,263,-,7,14,28,152,62
1944,350,-,10,18,8,162,152
1945,374,-,11,23,59,212,69
1946,312,-,16,9,20,189,78
1947,322,-,19,25,23,194,61
1948,245,-,10,4,18,128,85
1949,209,-,9,20,16,63,101
1950,111,-,3,13,12,42,41
1952,74,-,3,12,7,13,39
1953,64,-,1,6,11,10,36
1954,86,-,2,29,23,17,15
1955,61,-,3,17,11,10,20
1956,43,-,3,10,4,4,22
1957,67,-,1,17,17,7,25
1958,31,-,1,4,6,13,7
1959,26,-,2,2,6,11,5
1960,34,-,1,11,6,2,14
1961,41,-,1,5,9,8,18
1962,25,-,1,9,8,1,6
1963,26,-,3,4,11,2,6
1964,28,-,1,11,5,3,8
1965,14,-,-,2,5,1,6
1966,27,-,1,12,6,1,7
1967,13,-,3,3,4,2,1
1968,10,-,1,1,7,-,1
1970,9,-,-,2,6,1,-
1971,13,-,1,7,3,-,2
1972,6,-,-,2,1,-,3
1973,8,-,1,6,1,-,-
1974,8,-,2,3,1,-,2
1975,5,-,-,4,-,-,1
1976,2,-,-,1,1,-,-
1977,1,-,1,-,-,-,-
1978,3,-,-,2,1,-,-
1979,2,-,1,1,-,-,-
1980,2,-,-,2,-,-,-
1981,2,-,-,1,1,-,-
1982,1,-,-,-,1,-,-
1983,1,-,-,-,-,-,1
1984,1,-,-,1,-,-,-
1986,1,-,-,-,-,1,-
1987,3,-,-,2,1,-,-
1988,1,-,-,-,-,1,-
1989,0,-,-,-,-,-,-
1990,1,-,1,-,-,-,-
1991,0,-,-,-,-,-,-
1992,1,-,-,1,-,-,-
1993,1,-,-,-,-,1,-
1994,0,-,-,-,-,-,-
1995,0,-,-,-,-,-,-
1996,0,-,-,-,-,-,-
1997,2,-,-,1,-,-,1
1998,1,-,-,-,-,-,1
1999,0,-,-,-,-,-,-
2000,0,-,-,-,-,-,-
2001,0,-,-,-,-,-,-
2002,0,-,-,-,-,-,-
2003,0,-,-,-,-,-,-
2004,0,-,-,-,-,-,-
